region_idx,region_name,network,hemisphere,accuracy,n_samples,Analysis,Strategy,Phase
60,LH_ContA_PFCd_1,ContA,left,0.9553571428571428,224,Full Connectivity,OVR,CV
61,LH_ContA_PFClv_1,ContA,left,0.9464285714285714,224,Full Connectivity,OVR,CV
62,LH_ContA_PFCl_1,ContA,left,0.9732142857142856,224,Full Connectivity,OVR,CV
63,LH_ContA_PFCl_2,ContA,left,0.9017857142857144,224,Full Connectivity,OVR,CV
64,LH_ContA_PFCl_3,ContA,left,0.9151785714285714,224,Full Connectivity,OVR,CV
65,LH_ContA_Cingm_1,ContA,left,0.9330357142857144,224,Full Connectivity,OVR,CV
66,LH_ContB_Temp_1,ContB,left,0.9375,224,Full Connectivity,OVR,CV
67,LH_ContB_IPL_1,ContB,left,0.9642857142857144,224,Full Connectivity,OVR,CV
68,LH_ContB_PFCl_1,ContB,left,0.9598214285714286,224,Full Connectivity,OVR,CV
69,LH_ContB_PFClv_1,ContB,left,0.9508928571428572,224,Full Connectivity,OVR,CV
70,LH_ContB_PFClv_2,ContB,left,0.8883928571428571,224,Full Connectivity,OVR,CV
71,LH_ContC_pCun_1,ContC,left,0.9955357142857144,224,Full Connectivity,OVR,CV
72,LH_ContC_pCun_2,ContC,left,0.9910714285714286,224,Full Connectivity,OVR,CV
73,LH_ContC_Cingp_1,ContC,left,0.9910714285714286,224,Full Connectivity,OVR,CV
74,LH_DefaultA_IPL_1,DefaultA,left,0.9910714285714286,224,Full Connectivity,OVR,CV
75,LH_DefaultA_PFCd_1,DefaultA,left,0.9821428571428572,224,Full Connectivity,OVR,CV
76,LH_DefaultA_pCunPCC_1,DefaultA,left,0.9955357142857144,224,Full Connectivity,OVR,CV
77,LH_DefaultA_pCunPCC_2,DefaultA,left,0.9910714285714286,224,Full Connectivity,OVR,CV
78,LH_DefaultA_pCunPCC_3,DefaultA,left,0.9955357142857144,224,Full Connectivity,OVR,CV
79,LH_DefaultA_PFCm_1,DefaultA,left,0.9553571428571428,224,Full Connectivity,OVR,CV
80,LH_DefaultA_PFCm_2,DefaultA,left,0.9732142857142856,224,Full Connectivity,OVR,CV
81,LH_DefaultA_PFCm_3,DefaultA,left,1.0,224,Full Connectivity,OVR,CV
82,LH_DefaultB_Temp_1,DefaultB,left,0.9285714285714286,224,Full Connectivity,OVR,CV
83,LH_DefaultB_Temp_2,DefaultB,left,0.8705357142857143,224,Full Connectivity,OVR,CV
84,LH_DefaultB_Temp_3,DefaultB,left,0.9642857142857144,224,Full Connectivity,OVR,CV
85,LH_DefaultB_Temp_4,DefaultB,left,0.9598214285714286,224,Full Connectivity,OVR,CV
86,LH_DefaultB_IPL_1,DefaultB,left,0.875,224,Full Connectivity,OVR,CV
87,LH_DefaultB_PFCd_1,DefaultB,left,0.9910714285714286,224,Full Connectivity,OVR,CV
88,LH_DefaultB_PFCd_2,DefaultB,left,0.9776785714285714,224,Full Connectivity,OVR,CV
89,LH_DefaultB_PFCd_3,DefaultB,left,0.9598214285714286,224,Full Connectivity,OVR,CV
90,LH_DefaultB_PFCd_4,DefaultB,left,0.96875,224,Full Connectivity,OVR,CV
91,LH_DefaultB_PFCv_1,DefaultB,left,0.9553571428571428,224,Full Connectivity,OVR,CV
92,LH_DefaultB_PFCv_2,DefaultB,left,0.8705357142857143,224,Full Connectivity,OVR,CV
93,LH_DefaultB_PFCv_3,DefaultB,left,0.9464285714285714,224,Full Connectivity,OVR,CV
94,LH_DefaultB_PFCv_4,DefaultB,left,0.9821428571428572,224,Full Connectivity,OVR,CV
95,LH_DefaultC_IPL_1,DefaultC,left,0.9375,224,Full Connectivity,OVR,CV
96,LH_DefaultC_Rsp_1,DefaultC,left,0.9910714285714286,224,Full Connectivity,OVR,CV
97,LH_DefaultC_PHC_1,DefaultC,left,0.9642857142857144,224,Full Connectivity,OVR,CV
98,LH_TempPar_1,TempPar,left,0.8928571428571429,224,Full Connectivity,OVR,CV
99,LH_TempPar_2,TempPar,left,0.8348214285714286,224,Full Connectivity,OVR,CV
100,RH_VisCent_ExStr_1,VisCent,right,1.0,224,Full Connectivity,OVR,CV
101,RH_VisCent_ExStr_2,VisCent,right,0.9553571428571428,224,Full Connectivity,OVR,CV
102,RH_VisCent_Striate_1,VisCent,right,0.9955357142857144,224,Full Connectivity,OVR,CV
103,RH_VisCent_ExStr_3,VisCent,right,0.9464285714285714,224,Full Connectivity,OVR,CV
104,RH_VisCent_ExStr_4,VisCent,right,0.9866071428571428,224,Full Connectivity,OVR,CV
105,RH_VisCent_ExStr_5,VisCent,right,0.9910714285714286,224,Full Connectivity,OVR,CV
106,RH_VisPeri_ExStrInf_1,VisPeri,right,0.9955357142857144,224,Full Connectivity,OVR,CV
107,RH_VisPeri_ExStrInf_2,VisPeri,right,0.9776785714285714,224,Full Connectivity,OVR,CV
108,RH_VisPeri_StriCal_1,VisPeri,right,1.0,224,Full Connectivity,OVR,CV
109,RH_VisPeri_ExStrSup_1,VisPeri,right,0.9955357142857144,224,Full Connectivity,OVR,CV
110,RH_VisPeri_ExStrSup_2,VisPeri,right,0.9910714285714286,224,Full Connectivity,OVR,CV
111,RH_VisPeri_ExStrSup_3,VisPeri,right,0.9732142857142856,224,Full Connectivity,OVR,CV
112,RH_SomMotA_1,SomMotA,right,0.9866071428571428,224,Full Connectivity,OVR,CV
113,RH_SomMotA_2,SomMotA,right,0.96875,224,Full Connectivity,OVR,CV
114,RH_SomMotA_3,SomMotA,right,0.9419642857142856,224,Full Connectivity,OVR,CV
115,RH_SomMotA_4,SomMotA,right,0.9821428571428572,224,Full Connectivity,OVR,CV
116,RH_SomMotA_5,SomMotA,right,0.9375,224,Full Connectivity,OVR,CV
117,RH_SomMotA_6,SomMotA,right,0.96875,224,Full Connectivity,OVR,CV
118,RH_SomMotA_7,SomMotA,right,0.9732142857142856,224,Full Connectivity,OVR,CV
119,RH_SomMotA_8,SomMotA,right,0.96875,224,Full Connectivity,OVR,CV
120,RH_SomMotA_9,SomMotA,right,0.9732142857142856,224,Full Connectivity,OVR,CV
121,RH_SomMotA_10,SomMotA,right,0.9866071428571428,224,Full Connectivity,OVR,CV
122,RH_SomMotA_11,SomMotA,right,0.9821428571428572,224,Full Connectivity,OVR,CV
123,RH_SomMotB_Aud_1,SomMotB,right,0.9732142857142856,224,Full Connectivity,OVR,CV
124,RH_SomMotB_Aud_2,SomMotB,right,0.9598214285714286,224,Full Connectivity,OVR,CV
125,RH_SomMotB_S2_1,SomMotB,right,0.9375,224,Full Connectivity,OVR,CV
126,RH_SomMotB_S2_2,SomMotB,right,0.9598214285714286,224,Full Connectivity,OVR,CV
127,RH_SomMotB_S2_3,SomMotB,right,0.9955357142857144,224,Full Connectivity,OVR,CV
128,RH_SomMotB_S2_4,SomMotB,right,0.9821428571428572,224,Full Connectivity,OVR,CV
129,RH_SomMotB_Cent_1,SomMotB,right,1.0,224,Full Connectivity,OVR,CV
130,RH_DorsAttnA_TempOcc_1,DorsAttnA,right,0.9553571428571428,224,Full Connectivity,OVR,CV
131,RH_DorsAttnA_ParOcc_1,DorsAttnA,right,0.8928571428571429,224,Full Connectivity,OVR,CV
132,RH_DorsAttnA_SPL_1,DorsAttnA,right,0.9776785714285714,224,Full Connectivity,OVR,CV
133,RH_DorsAttnA_SPL_2,DorsAttnA,right,0.9910714285714286,224,Full Connectivity,OVR,CV
134,RH_DorsAttnA_SPL_3,DorsAttnA,right,0.96875,224,Full Connectivity,OVR,CV
135,RH_DorsAttnA_SPL_4,DorsAttnA,right,0.9866071428571428,224,Full Connectivity,OVR,CV
136,RH_DorsAttnB_PostC_1,DorsAttnB,right,0.9642857142857144,224,Full Connectivity,OVR,CV
137,RH_DorsAttnB_PostC_2,DorsAttnB,right,0.9419642857142856,224,Full Connectivity,OVR,CV
138,RH_DorsAttnB_PostC_3,DorsAttnB,right,0.9910714285714286,224,Full Connectivity,OVR,CV
139,RH_DorsAttnB_PostC_4,DorsAttnB,right,0.9821428571428572,224,Full Connectivity,OVR,CV
140,RH_DorsAttnB_FEF_1,DorsAttnB,right,0.9330357142857144,224,Full Connectivity,OVR,CV
141,RH_SalVentAttnA_ParOper_1,SalVentAttnA,right,0.9821428571428572,224,Full Connectivity,OVR,CV
142,RH_SalVentAttnA_PrC_1,SalVentAttnA,right,0.8348214285714286,224,Full Connectivity,OVR,CV
143,RH_SalVentAttnA_Ins_1,SalVentAttnA,right,0.8125,224,Full Connectivity,OVR,CV
144,RH_SalVentAttnA_Ins_2,SalVentAttnA,right,0.9196428571428572,224,Full Connectivity,OVR,CV
145,RH_SalVentAttnA_FrOper_1,SalVentAttnA,right,0.9776785714285714,224,Full Connectivity,OVR,CV
146,RH_SalVentAttnA_FrMed_1,SalVentAttnA,right,0.96875,224,Full Connectivity,OVR,CV
147,RH_SalVentAttnA_ParMed_1,SalVentAttnA,right,0.8616071428571429,224,Full Connectivity,OVR,CV
148,RH_SalVentAttnA_ParMed_2,SalVentAttnA,right,0.9642857142857144,224,Full Connectivity,OVR,CV
149,RH_SalVentAttnA_FrMed_2,SalVentAttnA,right,0.9732142857142856,224,Full Connectivity,OVR,CV
150,RH_SalVentAttnB_IPL_1,SalVentAttnB,right,0.9419642857142856,224,Full Connectivity,OVR,CV
151,RH_SalVentAttnB_PFClv_1,SalVentAttnB,right,0.9508928571428572,224,Full Connectivity,OVR,CV
152,RH_SalVentAttnB_PFCl_1,SalVentAttnB,right,0.9598214285714286,224,Full Connectivity,OVR,CV
153,RH_SalVentAttnB_Ins_1,SalVentAttnB,right,0.9196428571428572,224,Full Connectivity,OVR,CV
154,RH_SalVentAttnB_Ins_2,SalVentAttnB,right,0.9642857142857144,224,Full Connectivity,OVR,CV
155,RH_SalVentAttnB_PFCmp_1,SalVentAttnB,right,0.9866071428571428,224,Full Connectivity,OVR,CV
156,RH_LimbicB_OFC_1,LimbicB,right,0.9464285714285714,224,Full Connectivity,OVR,CV
157,RH_LimbicB_OFC_2,LimbicB,right,0.9241071428571428,224,Full Connectivity,OVR,CV
158,RH_LimbicB_OFC_3,LimbicB,right,0.9910714285714286,224,Full Connectivity,OVR,CV
159,RH_LimbicB_OFC_4,LimbicB,right,0.90625,224,Full Connectivity,OVR,CV
160,RH_LimbicA_TempPole_1,LimbicA,right,0.8616071428571429,224,Full Connectivity,OVR,CV
161,RH_LimbicA_TempPole_2,LimbicA,right,0.8392857142857143,224,Full Connectivity,OVR,CV
162,RH_LimbicA_TempPole_3,LimbicA,right,0.7008928571428571,224,Full Connectivity,OVR,CV
163,RH_LimbicA_TempPole_4,LimbicA,right,0.9196428571428572,224,Full Connectivity,OVR,CV
164,RH_ContA_IPS_1,ContA,right,0.9776785714285714,224,Full Connectivity,OVR,CV
165,RH_ContA_IPS_2,ContA,right,0.9955357142857144,224,Full Connectivity,OVR,CV
166,RH_ContA_PFCd_1,ContA,right,0.9553571428571428,224,Full Connectivity,OVR,CV
167,RH_ContA_PFCl_1,ContA,right,0.9553571428571428,224,Full Connectivity,OVR,CV
168,RH_ContA_PFCl_2,ContA,right,0.9196428571428572,224,Full Connectivity,OVR,CV
169,RH_ContA_Cingm_1,ContA,right,0.9285714285714286,224,Full Connectivity,OVR,CV
170,RH_ContB_Temp_1,ContB,right,0.96875,224,Full Connectivity,OVR,CV
171,RH_ContB_Temp_2,ContB,right,0.9107142857142856,224,Full Connectivity,OVR,CV
172,RH_ContB_IPL_1,ContB,right,0.9598214285714286,224,Full Connectivity,OVR,CV
173,RH_ContB_IPL_2,ContB,right,0.9776785714285714,224,Full Connectivity,OVR,CV
174,RH_ContB_PFCld_1,ContB,right,0.9241071428571428,224,Full Connectivity,OVR,CV
175,RH_ContB_PFCld_2,ContB,right,0.9508928571428572,224,Full Connectivity,OVR,CV
176,RH_ContB_PFClv_1,ContB,right,0.9330357142857144,224,Full Connectivity,OVR,CV
177,RH_ContB_PFClv_2,ContB,right,0.9553571428571428,224,Full Connectivity,OVR,CV
178,RH_ContB_PFCmp_1,ContB,right,0.9732142857142856,224,Full Connectivity,OVR,CV
179,RH_ContB_PFCld_3,ContB,right,0.9732142857142856,224,Full Connectivity,OVR,CV
180,RH_ContC_pCun_1,ContC,right,1.0,224,Full Connectivity,OVR,CV
181,RH_ContC_pCun_2,ContC,right,0.9955357142857144,224,Full Connectivity,OVR,CV
182,RH_ContC_Cingp_1,ContC,right,0.9910714285714286,224,Full Connectivity,OVR,CV
183,RH_DefaultA_IPL_1,DefaultA,right,0.9241071428571428,224,Full Connectivity,OVR,CV
184,RH_DefaultA_PFCd_1,DefaultA,right,0.9375,224,Full Connectivity,OVR,CV
185,RH_DefaultA_pCunPCC_1,DefaultA,right,1.0,224,Full Connectivity,OVR,CV
186,RH_DefaultA_PFCm_1,DefaultA,right,0.9910714285714286,224,Full Connectivity,OVR,CV
187,RH_DefaultA_PFCm_2,DefaultA,right,0.5535714285714286,224,Full Connectivity,OVR,CV
188,RH_DefaultA_PFCm_3,DefaultA,right,0.9910714285714286,224,Full Connectivity,OVR,CV
189,RH_DefaultB_Temp_1,DefaultB,right,0.9375,224,Full Connectivity,OVR,CV
190,RH_DefaultB_AntTemp_1,DefaultB,right,0.96875,224,Full Connectivity,OVR,CV
191,RH_DefaultB_PFCd_1,DefaultB,right,0.9642857142857144,224,Full Connectivity,OVR,CV
192,RH_DefaultB_PFCv_1,DefaultB,right,0.9910714285714286,224,Full Connectivity,OVR,CV
193,RH_DefaultC_IPL_1,DefaultC,right,0.9419642857142856,224,Full Connectivity,OVR,CV
194,RH_DefaultC_Rsp_1,DefaultC,right,0.9955357142857144,224,Full Connectivity,OVR,CV
195,RH_DefaultC_PHC_1,DefaultC,right,0.9821428571428572,224,Full Connectivity,OVR,CV
196,RH_TempPar_1,TempPar,right,0.9151785714285714,224,Full Connectivity,OVR,CV
197,RH_TempPar_2,TempPar,right,0.8928571428571429,224,Full Connectivity,OVR,CV
198,RH_TempPar_3,TempPar,right,0.9107142857142856,224,Full Connectivity,OVR,CV
199,RH_TempPar_4,TempPar,right,0.9241071428571428,224,Full Connectivity,OVR,CV
200,aHIP-rh,Hippocampus_ant,right,0.9375,224,Full Connectivity,OVR,CV
201,pHIP-rh,Hippocampus_post,right,0.8526785714285714,224,Full Connectivity,OVR,CV
202,lAMY-rh,Amygdala_lat,right,0.71875,224,Full Connectivity,OVR,CV
203,mAMY-rh,Amygdala_med,right,0.84375,224,Full Connectivity,OVR,CV
204,THA-DP-rh,Thalamus_DP,right,0.75,224,Full Connectivity,OVR,CV
205,THA-VP-rh,Thalamus_VP,right,0.8348214285714286,224,Full Connectivity,OVR,CV
206,THA-VA-rh,Thalamus_VA,right,0.9598214285714286,224,Full Connectivity,OVR,CV
207,THA-DA-rh,Thalamus_DA,right,0.9151785714285714,224,Full Connectivity,OVR,CV
208,NAc-shell-rh,Accumbens_shell,right,0.7767857142857143,224,Full Connectivity,OVR,CV
209,NAc-core-rh,Accumbens_core,right,0.875,224,Full Connectivity,OVR,CV
210,pGP-rh,Pallidum_post,right,0.46875,224,Full Connectivity,OVR,CV
211,aGP-rh,Pallidum_ant,right,0.3794642857142857,224,Full Connectivity,OVR,CV
212,aPUT-rh,Putamen_ant,right,0.9866071428571428,224,Full Connectivity,OVR,CV
213,pPUT-rh,Putamen_post,right,0.9508928571428572,224,Full Connectivity,OVR,CV
214,aCAU-rh,Caudate_ant,right,0.96875,224,Full Connectivity,OVR,CV
215,pCAU-rh,Caudate_post,right,0.9464285714285714,224,Full Connectivity,OVR,CV
216,aHIP-lh,Hippocampus_ant,left,0.8928571428571429,224,Full Connectivity,OVR,CV
217,pHIP-lh,Hippocampus_post,left,0.7767857142857143,224,Full Connectivity,OVR,CV
218,lAMY-lh,Amygdala_lat,left,0.7455357142857143,224,Full Connectivity,OVR,CV
219,mAMY-lh,Amygdala_med,left,0.8482142857142857,224,Full Connectivity,OVR,CV
220,THA-DP-lh,Thalamus_DP,left,0.7321428571428571,224,Full Connectivity,OVR,CV
221,THA-VP-lh,Thalamus_VP,left,0.8125,224,Full Connectivity,OVR,CV
222,THA-VA-lh,Thalamus_VA,left,0.9375,224,Full Connectivity,OVR,CV
223,THA-DA-lh,Thalamus_DA,left,0.90625,224,Full Connectivity,OVR,CV
224,NAc-shell-lh,Accumbens_shell,left,0.8883928571428571,224,Full Connectivity,OVR,CV
225,NAc-core-lh,Accumbens_core,left,0.8794642857142857,224,Full Connectivity,OVR,CV
226,pGP-lh,Pallidum_post,left,0.4330357142857143,224,Full Connectivity,OVR,CV
227,aGP-lh,Pallidum_ant,left,0.4196428571428571,224,Full Connectivity,OVR,CV
228,aPUT-lh,Putamen_ant,left,0.9642857142857144,224,Full Connectivity,OVR,CV
229,pPUT-lh,Putamen_post,left,0.9508928571428572,224,Full Connectivity,OVR,CV
230,aCAU-lh,Caudate_ant,left,0.9642857142857144,224,Full Connectivity,OVR,CV
231,pCAU-lh,Caudate_post,left,0.9508928571428572,224,Full Connectivity,OVR,CV
0,LH_VisCent_ExStr_2,VisCent,left,0.895,200,Full Connectivity,MULTINOMIAL,Task
1,LH_VisCent_ExStr_1,VisCent,left,0.975,200,Full Connectivity,MULTINOMIAL,Task
2,LH_VisCent_Striate_1,VisCent,left,0.98,200,Full Connectivity,MULTINOMIAL,Task
3,LH_VisCent_ExStr_3,VisCent,left,0.94,200,Full Connectivity,MULTINOMIAL,Task
4,LH_VisCent_ExStr_4,VisCent,left,0.98,200,Full Connectivity,MULTINOMIAL,Task
5,LH_VisCent_ExStr_5,VisCent,left,0.99,200,Full Connectivity,MULTINOMIAL,Task
6,LH_VisPeri_ExStrInf_1,VisPeri,left,0.945,200,Full Connectivity,MULTINOMIAL,Task
7,LH_VisPeri_ExStrInf_2,VisPeri,left,0.93,200,Full Connectivity,MULTINOMIAL,Task
8,LH_VisPeri_ExStrInf_3,VisPeri,left,0.775,200,Full Connectivity,MULTINOMIAL,Task
9,LH_VisPeri_StriCal_1,VisPeri,left,0.985,200,Full Connectivity,MULTINOMIAL,Task
10,LH_VisPeri_ExStrSup_1,VisPeri,left,0.95,200,Full Connectivity,MULTINOMIAL,Task
11,LH_VisPeri_ExStrSup_2,VisPeri,left,0.99,200,Full Connectivity,MULTINOMIAL,Task
12,LH_SomMotA_1,SomMotA,left,0.935,200,Full Connectivity,MULTINOMIAL,Task
13,LH_SomMotA_2,SomMotA,left,0.955,200,Full Connectivity,MULTINOMIAL,Task
14,LH_SomMotA_3,SomMotA,left,0.91,200,Full Connectivity,MULTINOMIAL,Task
15,LH_SomMotA_4,SomMotA,left,0.99,200,Full Connectivity,MULTINOMIAL,Task
16,LH_SomMotA_5,SomMotA,left,0.965,200,Full Connectivity,MULTINOMIAL,Task
17,LH_SomMotA_6,SomMotA,left,0.965,200,Full Connectivity,MULTINOMIAL,Task
18,LH_SomMotA_7,SomMotA,left,0.99,200,Full Connectivity,MULTINOMIAL,Task
19,LH_SomMotA_8,SomMotA,left,0.955,200,Full Connectivity,MULTINOMIAL,Task
20,LH_SomMotB_Aud_1,SomMotB,left,0.85,200,Full Connectivity,MULTINOMIAL,Task
21,LH_SomMotB_Aud_2,SomMotB,left,0.93,200,Full Connectivity,MULTINOMIAL,Task
22,LH_SomMotB_S2_1,SomMotB,left,0.81,200,Full Connectivity,MULTINOMIAL,Task
23,LH_SomMotB_S2_2,SomMotB,left,0.935,200,Full Connectivity,MULTINOMIAL,Task
24,LH_SomMotB_Aud_3,SomMotB,left,0.81,200,Full Connectivity,MULTINOMIAL,Task
25,LH_SomMotB_S2_3,SomMotB,left,0.925,200,Full Connectivity,MULTINOMIAL,Task
26,LH_SomMotB_Cent_1,SomMotB,left,0.965,200,Full Connectivity,MULTINOMIAL,Task
27,LH_SomMotB_Cent_2,SomMotB,left,0.89,200,Full Connectivity,MULTINOMIAL,Task
28,LH_DorsAttnA_TempOcc_1,DorsAttnA,left,0.965,200,Full Connectivity,MULTINOMIAL,Task
29,LH_DorsAttnA_TempOcc_2,DorsAttnA,left,0.95,200,Full Connectivity,MULTINOMIAL,Task
30,LH_DorsAttnA_ParOcc_1,DorsAttnA,left,0.9,200,Full Connectivity,MULTINOMIAL,Task
31,LH_DorsAttnA_SPL_1,DorsAttnA,left,0.97,200,Full Connectivity,MULTINOMIAL,Task
32,LH_DorsAttnA_SPL_2,DorsAttnA,left,0.96,200,Full Connectivity,MULTINOMIAL,Task
33,LH_DorsAttnA_SPL_3,DorsAttnA,left,0.885,200,Full Connectivity,MULTINOMIAL,Task
34,LH_DorsAttnB_PostC_1,DorsAttnB,left,0.99,200,Full Connectivity,MULTINOMIAL,Task
35,LH_DorsAttnB_PostC_2,DorsAttnB,left,0.985,200,Full Connectivity,MULTINOMIAL,Task
36,LH_DorsAttnB_PostC_3,DorsAttnB,left,0.96,200,Full Connectivity,MULTINOMIAL,Task
37,LH_DorsAttnB_PostC_4,DorsAttnB,left,0.985,200,Full Connectivity,MULTINOMIAL,Task
38,LH_DorsAttnB_FEF_1,DorsAttnB,left,0.875,200,Full Connectivity,MULTINOMIAL,Task
39,LH_SalVentAttnA_ParOper_1,SalVentAttnA,left,0.965,200,Full Connectivity,MULTINOMIAL,Task
40,LH_SalVentAttnA_Ins_1,SalVentAttnA,left,0.85,200,Full Connectivity,MULTINOMIAL,Task
41,LH_SalVentAttnA_FrOper_1,SalVentAttnA,left,0.86,200,Full Connectivity,MULTINOMIAL,Task
42,LH_SalVentAttnA_FrOper_2,SalVentAttnA,left,0.875,200,Full Connectivity,MULTINOMIAL,Task
43,LH_SalVentAttnA_ParMed_1,SalVentAttnA,left,0.99,200,Full Connectivity,MULTINOMIAL,Task
44,LH_SalVentAttnA_FrMed_1,SalVentAttnA,left,0.965,200,Full Connectivity,MULTINOMIAL,Task
45,LH_SalVentAttnA_FrMed_2,SalVentAttnA,left,0.94,200,Full Connectivity,MULTINOMIAL,Task
46,LH_SalVentAttnB_IPL_1,SalVentAttnB,left,0.92,200,Full Connectivity,MULTINOMIAL,Task
47,LH_SalVentAttnB_PFCl_1,SalVentAttnB,left,0.845,200,Full Connectivity,MULTINOMIAL,Task
48,LH_SalVentAttnB_Ins_1,SalVentAttnB,left,0.885,200,Full Connectivity,MULTINOMIAL,Task
49,LH_SalVentAttnB_PFCmp_1,SalVentAttnB,left,0.965,200,Full Connectivity,MULTINOMIAL,Task
50,LH_LimbicB_OFC_1,LimbicB,left,0.765,200,Full Connectivity,MULTINOMIAL,Task
51,LH_LimbicB_OFC_2,LimbicB,left,0.955,200,Full Connectivity,MULTINOMIAL,Task
52,LH_LimbicA_TempPole_1,LimbicA,left,0.865,200,Full Connectivity,MULTINOMIAL,Task
53,LH_LimbicA_TempPole_2,LimbicA,left,0.81,200,Full Connectivity,MULTINOMIAL,Task
54,LH_LimbicA_TempPole_3,LimbicA,left,0.78,200,Full Connectivity,MULTINOMIAL,Task
55,LH_LimbicA_TempPole_4,LimbicA,left,0.65,200,Full Connectivity,MULTINOMIAL,Task
56,LH_ContA_Temp_1,ContA,left,0.86,200,Full Connectivity,MULTINOMIAL,Task
57,LH_ContA_IPS_1,ContA,left,0.97,200,Full Connectivity,MULTINOMIAL,Task
58,LH_ContA_IPS_2,ContA,left,0.975,200,Full Connectivity,MULTINOMIAL,Task
59,LH_ContA_IPS_3,ContA,left,0.955,200,Full Connectivity,MULTINOMIAL,Task
60,LH_ContA_PFCd_1,ContA,left,0.92,200,Full Connectivity,MULTINOMIAL,Task
61,LH_ContA_PFClv_1,ContA,left,0.825,200,Full Connectivity,MULTINOMIAL,Task
62,LH_ContA_PFCl_1,ContA,left,0.9,200,Full Connectivity,MULTINOMIAL,Task
63,LH_ContA_PFCl_2,ContA,left,0.82,200,Full Connectivity,MULTINOMIAL,Task
64,LH_ContA_PFCl_3,ContA,left,0.915,200,Full Connectivity,MULTINOMIAL,Task
65,LH_ContA_Cingm_1,ContA,left,0.76,200,Full Connectivity,MULTINOMIAL,Task
66,LH_ContB_Temp_1,ContB,left,0.945,200,Full Connectivity,MULTINOMIAL,Task
67,LH_ContB_IPL_1,ContB,left,0.99,200,Full Connectivity,MULTINOMIAL,Task
68,LH_ContB_PFCl_1,ContB,left,0.97,200,Full Connectivity,MULTINOMIAL,Task
69,LH_ContB_PFClv_1,ContB,left,0.98,200,Full Connectivity,MULTINOMIAL,Task
70,LH_ContB_PFClv_2,ContB,left,0.885,200,Full Connectivity,MULTINOMIAL,Task
71,LH_ContC_pCun_1,ContC,left,0.935,200,Full Connectivity,MULTINOMIAL,Task
72,LH_ContC_pCun_2,ContC,left,0.97,200,Full Connectivity,MULTINOMIAL,Task
73,LH_ContC_Cingp_1,ContC,left,0.95,200,Full Connectivity,MULTINOMIAL,Task
74,LH_DefaultA_IPL_1,DefaultA,left,0.955,200,Full Connectivity,MULTINOMIAL,Task
75,LH_DefaultA_PFCd_1,DefaultA,left,0.94,200,Full Connectivity,MULTINOMIAL,Task
76,LH_DefaultA_pCunPCC_1,DefaultA,left,0.965,200,Full Connectivity,MULTINOMIAL,Task
77,LH_DefaultA_pCunPCC_2,DefaultA,left,0.95,200,Full Connectivity,MULTINOMIAL,Task
78,LH_DefaultA_pCunPCC_3,DefaultA,left,0.925,200,Full Connectivity,MULTINOMIAL,Task
79,LH_DefaultA_PFCm_1,DefaultA,left,0.9,200,Full Connectivity,MULTINOMIAL,Task
80,LH_DefaultA_PFCm_2,DefaultA,left,0.945,200,Full Connectivity,MULTINOMIAL,Task
81,LH_DefaultA_PFCm_3,DefaultA,left,0.985,200,Full Connectivity,MULTINOMIAL,Task
82,LH_DefaultB_Temp_1,DefaultB,left,0.865,200,Full Connectivity,MULTINOMIAL,Task
83,LH_DefaultB_Temp_2,DefaultB,left,0.875,200,Full Connectivity,MULTINOMIAL,Task
84,LH_DefaultB_Temp_3,DefaultB,left,0.81,200,Full Connectivity,MULTINOMIAL,Task
85,LH_DefaultB_Temp_4,DefaultB,left,0.895,200,Full Connectivity,MULTINOMIAL,Task
86,LH_DefaultB_IPL_1,DefaultB,left,0.915,200,Full Connectivity,MULTINOMIAL,Task
87,LH_DefaultB_PFCd_1,DefaultB,left,0.94,200,Full Connectivity,MULTINOMIAL,Task
88,LH_DefaultB_PFCd_2,DefaultB,left,0.985,200,Full Connectivity,MULTINOMIAL,Task
89,LH_DefaultB_PFCd_3,DefaultB,left,0.97,200,Full Connectivity,MULTINOMIAL,Task
90,LH_DefaultB_PFCd_4,DefaultB,left,0.97,200,Full Connectivity,MULTINOMIAL,Task
91,LH_DefaultB_PFCv_1,DefaultB,left,0.945,200,Full Connectivity,MULTINOMIAL,Task
92,LH_DefaultB_PFCv_2,DefaultB,left,0.78,200,Full Connectivity,MULTINOMIAL,Task
93,LH_DefaultB_PFCv_3,DefaultB,left,0.94,200,Full Connectivity,MULTINOMIAL,Task
94,LH_DefaultB_PFCv_4,DefaultB,left,0.935,200,Full Connectivity,MULTINOMIAL,Task
95,LH_DefaultC_IPL_1,DefaultC,left,0.95,200,Full Connectivity,MULTINOMIAL,Task
96,LH_DefaultC_Rsp_1,DefaultC,left,0.985,200,Full Connectivity,MULTINOMIAL,Task
97,LH_DefaultC_PHC_1,DefaultC,left,0.945,200,Full Connectivity,MULTINOMIAL,Task
98,LH_TempPar_1,TempPar,left,0.81,200,Full Connectivity,MULTINOMIAL,Task
99,LH_TempPar_2,TempPar,left,0.8,200,Full Connectivity,MULTINOMIAL,Task
100,RH_VisCent_ExStr_1,VisCent,right,0.99,200,Full Connectivity,MULTINOMIAL,Task
101,RH_VisCent_ExStr_2,VisCent,right,0.91,200,Full Connectivity,MULTINOMIAL,Task
102,RH_VisCent_Striate_1,VisCent,right,0.965,200,Full Connectivity,MULTINOMIAL,Task
103,RH_VisCent_ExStr_3,VisCent,right,0.915,200,Full Connectivity,MULTINOMIAL,Task
